habitaciones,baños,precio,link_inmueble,metros_cuadrados,anunciante,zona,tipo_de_operacion,fecha_inclusion,web
1,1,170000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/centre-zona-alta/184998912/d,322.0,Particular,Desconocido,Venta,2025-09-06,Fotocasa
2,1,450.0,https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/calefaccion-amueblado/187246290/d,79.0,Particular,Desconocido,Alquiler,2025-09-06,Fotocasa
4,3,700.0,https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/calefaccion-parking-trastero-ascensor/187208875/d,135.0,Particular,Desconocido,Alquiler,2025-09-06,Fotocasa
3,1,550.0,https://www.fotocasa.es/es/alquiler/vivienda/alcoy-alcoi/calefaccion-terraza/184443456/d,89.0,Particular,Desconocido,Alquiler,2025-09-06,Fotocasa
4,2,113000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-ascensor/176956239/d,128.0,INMOBILIARIA CANTO,El Cami,Venta,2025-09-07,Fotocasa
3,2,175000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-parking-jardin-trastero-ascensor/187251691/d,102.0,Inmobiliaria Sanchéz,Barrio Santa Rosa,Venta,2025-09-07,Fotocasa
3,2,125000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-patio-television-internet-no-amueblado/159812500/d,100.0,ximo,Centro - Zona Alta,Venta,2025-09-07,Fotocasa
4,2,150000.0,https://www.fotocasa.es/es/comprar/vivienda/alcoy-alcoi/calefaccion-terraza-trastero-patio-amueblado/187468588/d,176.0,Particular,Desconocido,Venta,2025-09-07,Fotocasa
6,3,415000.0,https://www.idealista.com/inmueble/109205294/,361.0,Inmoparadise,Centro - Zona Alta,Venta,2025-09-07,Idealista
6,5,630000.0,https://www.idealista.com/inmueble/101456819/,483.0,Avangard Mediterranean Properties,Desconocido,Venta,2025-09-07,Idealista
11,4,1200.0,https://www.idealista.com/inmueble/106110913/,780.0,TEAM CONCORDE,Desconocido,Venta,2025-09-07,Idealista
4,2,138000.0,https://www.idealista.com/inmueble/108460518/,114.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
4,2,255000.0,https://www.idealista.com/inmueble/108703897/,140.0,VITALITY VIVIENDAS,Barrio Zona Nord,Venta,2025-09-07,Idealista
3,2,85000.0,https://www.idealista.com/inmueble/108987418/,82.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
3,1,49000.0,https://www.idealista.com/inmueble/109116527/,50.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,165000.0,https://www.idealista.com/inmueble/107158829/,146.0,EZOVSKI. real estate,Barrio Zona Nord,Venta,2025-09-07,Idealista
3,2,119000.0,https://www.idealista.com/inmueble/108772657/,148.0,Núcleo Gestiones Inmobiliarias Alcoy,Centro - Zona Alta,Venta,2025-09-07,Idealista
2,1,99900.0,https://www.idealista.com/inmueble/108405093/,86.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Santa Rosa,Venta,2025-09-07,Idealista
7,5,567000.0,https://www.idealista.com/inmueble/106551637/,430.0,Remax Blue,Centro - Zona Alta,Venta,2025-09-07,Idealista
4,1,165000.0,https://www.idealista.com/inmueble/108169412/,94.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
4,2,95000.0,https://www.idealista.com/inmueble/108498530/,125.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
3,1,49000.0,https://www.idealista.com/inmueble/107952468/,98.0,Núcleo Gestiones Inmobiliarias Alcoy,Barrio Eixample,Venta,2025-09-07,Idealista
3,2,90000.0,https://www.idealista.com/inmueble/108664854/,104.0,Clikalia España,Barrio Santa Rosa,Venta,2025-09-07,Idealista
